59;0.61458333;0.60958904;3460
84;0.61458333;0.60958904;3460
109;0.61458333;0.60958904;3460
9;0.6127451;0.6;3380
4;0.62745098;0.6;3260
29;0.62745098;0.6;3260
54;0.62745098;0.6;3260
79;0.62745098;0.6;3260
104;0.62745098;0.6;3260
34;0.60824742;0.6;3120
64;0.59677419;0.62878788;3120
89;0.59677419;0.62878788;3120
114;0.59677419;0.62878788;3120
13;0.60451977;0.61038961;3080
38;0.60344828;0.61038961;3020
113;0.60115607;0.61940299;2960
63;0.60115607;0.6122449;2920
88;0.60115607;0.60714286;2720
14;0.6;0.59259259;2640
18;0.59411765;0.6035503;2640
8;0.60752688;0.58381503;2620
33;0.60773481;0.58381503;2580
39;0.59677419;0.59748428;2580
83;0.60946746;0.58536585;2520
108;0.60946746;0.58536585;2520
43;0.59235669;0.6035503;2500
58;0.60946746;0.58433735;2500
68;0.59602649;0.6025641;2420
118;0.59602649;0.60869565;2420
22;0.60233918;0.58522727;2380
32;0.59183673;0.59589041;2340
93;0.59602649;0.59722222;2180
69;0.59375;0.60504202;2160
94;0.59375;0.60504202;2160
119;0.59375;0.60504202;2160
24;0.59259259;0.5890411;2140
74;0.58646617;0.62857143;2120
99;0.58646617;0.62857143;2120
124;0.58646617;0.62857143;2120
2;0.58108108;0.675;2060
27;0.58108108;0.675;2060
47;0.59354839;0.58823529;2060
52;0.58108108;0.675;2060
77;0.58108108;0.675;2060
102;0.58108108;0.675;2060
57;0.59281437;0.5915493;2040
3;0.5862069;0.61666667;1960
28;0.5862069;0.61666667;1960
53;0.5862069;0.61666667;1960
78;0.5862069;0.61666667;1960
82;0.59036145;0.5915493;1960
103;0.5862069;0.61666667;1960
107;0.59036145;0.5915493;1960
7;0.58421053;0.58940397;1900
12;0.59016393;0.57861635;1800
17;0.59217877;0.57575758;1780
20;0.57777778;0.57894737;1700
25;0.57021277;0.59064327;1700
21;0.57228916;0.59868421;1680
46;0.57228916;0.59868421;1680
19;0.59042553;0.57232704;1660
35;0.5902439;0.56613757;1640
10;0.58295964;0.57;1620
60;0.5902439;0.56593407;1620
85;0.5902439;0.56593407;1620
110;0.5902439;0.56593407;1620
44;0.58787879;0.57534247;1480
97;0.61654135;0.55633803;1480
122;0.61654135;0.55633803;1480
72;0.61594203;0.55405405;1460
23;0.57317073;0.58426966;1440
15;0.57777778;0.57;1420
71;0.56756757;0.59859155;1420
73;0.56338028;0.59602649;1300
92;0.60416667;0.55714286;1300
117;0.60416667;0.55714286;1300
49;0.56849315;0.59398496;1260
5;0.57526882;0.5751634;1200
31;0.57526882;0.5751634;1200
123;0.56338028;0.5984252;1180
37;0.56976744;0.58169935;1160
42;0.57232704;0.575;1040
67;0.59459459;0.55479452;1020
81;0.575;0.57236842;1020
98;0.56338028;0.58646617;940
96;0.55147059;0.59848485;920
40;0.58378378;0.55172414;820
106;0.57232704;0.56849315;820
48;0.5477707;0.58823529;780
65;0.58378378;0.54938272;760
90;0.58378378;0.54938272;760
115;0.58378378;0.54938272;760
75;0.55483871;0.58870968;720
100;0.55483871;0.58870968;720
125;0.55483871;0.58870968;720
1;0.57894737;0.625;660
26;0.57894737;0.625;660
51;0.57894737;0.625;660
76;0.57894737;0.625;660
101;0.57894737;0.625;660
121;0.55639098;0.58064516;580
86;0.56050955;0.57142857;560
56;0.55555556;0.5751634;540
111;0.56050955;0.56944444;500
50;0.54545455;0.58823529;480
62;0.55844156;0.56934307;420
87;0.55844156;0.56934307;420
112;0.55844156;0.56934307;420
45;0.55113636;0.57142857;300
61;0.55;0.57142857;260
16;0.54857143;0.56962025;180
41;0.54857143;0.56962025;180
70;0.54705882;0.57042254;120
95;0.54705882;0.57042254;120
120;0.54705882;0.57042254;120
66;0.55696203;0.55782313;100
6;0;0;0
30;0;0;0
55;0;0;0
80;0;0;0
105;0;0;0
11;0.53672316;0.57615894;-40
36;0.53672316;0.57615894;-40
116;0.54054054;0.54609929;-640
91;0.53691275;0.54545455;-760
