-100;-10000;-100000
-25;-2500;-25000
-125;-12500;-125000
-225;-22500;-225000
-150;-15000;-150000
-75;-7500;-75000
-175;-17500;-175000
-100;-10000;-100000
-25;-2500;-25000
-125;-12500;-125000
-50;-5000;-50000
-150;-15000;-150000
-75;-7500;-75000
0;0;0
-100;-10000;-100000
-200;-20000;-200000
-125;-12500;-125000
-225;-22500;-225000
-325;-32500;-325000
-425;-42500;-425000
-350;-35000;-350000
-275;-27500;-275000
-200;-20000;-200000
-125;-12500;-125000
-50;-5000;-50000
25;2500;25000
-75;-7500;-75000
0;0;0
75;7500;75000
150;15000;150000
225;22500;225000
125;12500;125000
25;2500;25000
-75;-7500;-75000
0;0;0
75;7500;75000
-25;-2500;-25000
-125;-12500;-125000
-50;-5000;-50000
25;2500;25000
100;10000;100000
175;17500;175000
250;25000;250000
150;15000;150000
50;5000;50000
-50;-5000;-50000
25;2500;25000
100;10000;100000
0;0;0
75;7500;75000
-25;-2500;-25000
50;5000;50000
125;12500;125000
200;20000;200000
275;27500;275000
175;17500;175000
250;25000;250000
150;15000;150000
225;22500;225000
300;30000;300000
375;37500;375000
450;45000;450000
350;35000;350000
425;42500;425000
500;50000;500000
575;57500;575000
475;47500;475000
550;55000;550000
450;45000;450000
525;52500;525000
425;42500;425000
500;50000;500000
575;57500;575000
650;65000;650000
725;72500;725000
800;80000;800000
700;70000;700000
775;77500;775000
850;85000;850000
750;75000;750000
825;82500;825000
900;90000;900000
975;97500;975000
875;87500;875000
950;95000;950000
850;85000;850000
925;92500;925000
1000;100000;1000000
1075;107500;1075000
975;97500;975000
875;87500;875000
775;77500;775000
850;85000;850000
925;92500;925000
1000;100000;1000000
1075;107500;1075000
1150;115000;1150000
1225;122500;1225000
1125;112500;1125000
1025;102500;1025000
1100;110000;1100000
1175;117500;1175000
1250;125000;1250000
1150;115000;1150000
1050;105000;1050000
1125;112500;1125000
1025;102500;1025000
1100;110000;1100000
1175;117500;1175000
1075;107500;1075000
975;97500;975000
1050;105000;1050000
1125;112500;1125000
1200;120000;1200000
1275;127500;1275000
1175;117500;1175000
1250;125000;1250000
